Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202207482,0;2022-04-04;;VÍTIMA FATAL;FINALIZADA;IMBIRIBEIRA;AV SUL;;;DENTRO DO TERMINAL INTEGRADO TANCREDO NEVES;IMBIRIBEIRA;;;ATROPELAMENTO DE PESSOA;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
202207484,0;2022-04-04;;COM VÍTIMA;FINALIZADA;IPUTINGA;RUA BOM PASTOR;335,0;;PROX ACADEMIA BIO FORMA  EO BAR SEU JORGE;IPUTINGA;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;R-6a;40 km/h;Dupla;Não existe;;
202207504,0;2022-04-04;;COM VÍTIMA;FINALIZADA;ESTÂNCIA;AV DR JOSE RUFINO;321,0;RUA ANDRE VIEIRA DE MELO;E/F AO COLEGIO VISAO;ESTÂNCIA;;;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Esquina;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Faixa contínua;;
202207509,0;2022-04-05;;COM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;AV GUARARAPES;;RUA DO SOL;EM FRENTE AO CORREIOS;SANTO ANTÔNIO;;;COLISÃO TRANSVERSAL;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202207529,0;2022-04-05;;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV SUL;457,0;;PRÓXIMO A PRAÇA SÉRGIO LORETO. EM FRENTE AO POSTO BR.;SÃO JOSÉ;;CIDADE;QUEDA;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
202207531,0;2022-04-05;;COM VÍTIMA;FINALIZADA;PARNAMIRIM;AV DEZESSETE DE AGOSTO;121,0;;E/F A HORTFRUIT ALÉM DO CAMPO;PARNAMIRIM;;SUBURBIO;CHOQUE;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;40 km/h;Dupla;Faixa contínua;;
202207534,0;2022-04-05;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV CONS ROSA E SILVA;215,0;;E/F AO CLUBE PORTUGUES;GRAÇAS;;SUBURBIO;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;;Única;Faixa seccionada;;
202207552,0;2022-04-05;;COM VÍTIMA;CANCELADA;AREIAS;AV RECIFE;194,0;;POR TRAS DO HOSPITAL DA MULHER  S/T BOA VIAGEM;AREIAS;;;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202207553,0;2022-04-05;;COM VÍTIMA;FINALIZADA;BONGI;RUA DONA MARIA AUGUSTA NOGUEIRA;341,0;RUA DELMIRO GOUVEIA;POR TRAS DA CELPE  NA RUA SECRETARIA DE SAUDE. EM FRENTE A IGREJA PRESTITERIANA BOAS NOVAS.;BONGI;;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Esquina;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Faixa seccionada;;
202207554,0;2022-04-05;;COM VÍTIMA;CANCELADA;CASA AMARELA;RUA DA HARMONIA;566,0;;EM FRENTE AO CENTRO EDUCACIONAL VILA SEZAMO;CASA AMARELA;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202207557,0;2022-04-05;;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2284,0;RUA DONA BENVINDA DE FARIAS;;BOA VIAGEM;139,0;SUBURBIO;COLISÃO TRASEIRA;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Canteiro central;;
202207571,0;2022-04-05;;SEM VÍTIMA;FINALIZADA;PINA;AV BOA VIAGEM;;;TERCEIRO JARDIM;PINA;117,0;CIDADE;;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;;Única;Faixa contínua;;
202207572,0;2022-04-05;;COM VÍTIMA;FINALIZADA;SAN MARTIN;AV GENERAL SAN MARTIN;;;NA ROTATÓRIA S/T  AFOGADOS . EM FRENTE À IGREJA UNIVERSAL;SAN MARTIN;;SUBURBIO;COLISÃO FRONTAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Rotatória;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Única;Outros;;
202207608,0;2022-04-06;;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;PRC DO DERBY;SOBRE A FAIXA DE PEDESTRES (SENTIDO CAMARAGIBE) E/F À ESTAÇÃO BRT;DERBY;75,0;BOA VIAGEM;COLISÃO TRASEIRA;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Intermitente;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;R-4a;60 km/h;Dupla;Faixa seccionada;;
202207610,0;2022-04-06;;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;;ANTES DE CHEGAR NA INTEGRAÇAO DA MACAXEIRA;MACAXEIRA;;;COLISÃO TRASEIRA;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202207659,0;2022-04-06;;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA PEDRO BERGAMO;109,0;;EM FRENTE AO EDIFÍCIO BENIDORM;BOA VIAGEM;;;;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
202207672,0;2022-04-06;;COM VÍTIMA;FINALIZADA;ESTÂNCIA;AV RECIFE;;;EM FRENTE AO GALETOS/ SENTIDO BOA VIAGEM;ESTÂNCIA;;;COLISÃO LATERAL;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;;;;;;;;;
202207680,0;2022-04-06;;COM VÍTIMA;FINALIZADA;LINHA DO TIRO;RUA URIEL DE HOLANDA;932,0;;E/F A  CHURRASCARIA CACHOEIRA;LINHA DO TIRO;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Ilegível;Seca;Mal iluminada;Não existe;Não há placas;;Dupla;Faixa seccionada;;
202207688,0;2022-04-06;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;3067,0;;E/F AO CARREFOUR / SEMÁFORO 145;BOA VIAGEM;145,0;SUBURBIO;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa seccionada;Canteiro central;
202207719,0;2022-04-07;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DEZ DE JULHO;139,0;RUA CAMBOIM;EM FRENTE AO MOTEL MAISON CRISTAL. PRÓXIMO A CONFORT LOCADORA DE CARROS.;BOA VIAGEM;;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;;Dupla;Faixa contínua;;
202207724,0;2022-04-07;;COM VÍTIMA;FINALIZADA;TORRE;RUA PROFESSOR TRAJANO DE MENDONCA;320,0;;EM FRENTE AO RESTAURANTE DO IRMAO / LADO DO ATACADO DOS PRESENTES;TORRE;;CIDADE;COLISÃO TRASEIRA;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Não há placas;40 km/h;Única;Faixa seccionada;;
202207734,0;2022-04-07;;COM VÍTIMA;FINALIZADA;CORDEIRO;AV PROFESSOR ESTEVAO FRANCISCO DA COSTA;;;;CORDEIRO;80,0;SUBURBIO;CHOQUE;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
202207743,0;2022-04-07;;SEM VÍTIMA;FINALIZADA;;AV GOVERNADOR AGAMENON MAGALHAES;;;EM FRENTE AO REAL HOSPITAL PORTUGUÊS ( PISTA LOCAL );;69,0;SUBURBIO;;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;;Única;Faixa seccionada;;
202207747,0;2022-04-07;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;EM FRENTE DA FACULDADE PERNAMBUCANA;IMBIRIBEIRA;530,0;CIDADE;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
202207766,0;2022-04-07;;COM VÍTIMA;FINALIZADA;JOANA BEZERRA;VDO PAPA JOAO PAULO II;;;AO LADO DO FÓRUM / SENTIDO BOA VIAGEM;JOANA BEZERRA;;SUBURBIO;COLISÃO TRASEIRA;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Viaduto;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;
202207771,0;2022-04-07;;COM VÍTIMA;FINALIZADA;AREIAS;RUA IPOJUCA;273,0;RUA CARUARU;PROX A IGREJA PRESBITERIANA. EM FRENTE À ESCOLA MUNICIPAL DE AREIAS.;AREIAS;;SUBURBIO;COLISÃO FRONTAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Faixa seccionada;;
202207806,0;2022-04-08;;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;RUA JOSE DA SILVA LUCENA;241,0;RUA SARGENTO SILVINO DE MACEDO;RUA DO COLEGIO GGE. LITÍGIO;IMBIRIBEIRA;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Cruzamento;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Não existe;;
202207819,0;2022-04-08;;COM VÍTIMA;FINALIZADA;AREIAS;AV TENENTE FELIPE BANDEIRA DE MELO;119,0;;PROX. AO HIPER;AREIAS;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202207822,0;2022-04-08;;COM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;;SOB A AV DR JOSE RUFINO, AO LADO DO ARMAZÉM CORAL, PRÓXIMO A AV ESTANCIA, RETORNO.;AREIAS;;CIDADE;QUEDA;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Viaduto;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Faixa seccionada;Canteiro central;
202207823,0;2022-04-08;;COM VÍTIMA;FINALIZADA;ARRUDA;AV PROFESSOR JOSE DOS ANJOS;;RUA PETRONILA BOTELHO;SEMAFORO 554;ARRUDA;554,0;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa seccionada;;
202207845,0;2022-04-08;;COM VÍTIMA;FINALIZADA;ÁGUA FRIA;AV BEBERIBE;2692,0;;EM FRENTE A EQUIPADORA NÓS;ÁGUA FRIA;307,0;SUBURBIO;COLISÃO COM CICLISTA;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa contínua;;
202207852,0;2022-04-08;;COM VÍTIMA;FINALIZADA;SAN MARTIN;AV ENGENHEIRO ABDIAS DE CARVALHO;;RUA QUINZE DE MARCO;COLISÃO COM VÍTIMA;SAN MARTIN;;SUBURBIO;COLISÃO FRONTAL;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202207857,0;2022-04-08;;SEM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;RUA DO SOL;S/N;;TEATRO  SANTA ISABEL;BAIRRO DO RECIFE;;CIDADE;COLISÃO TRASEIRA;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Única;Faixa seccionada;;
202207915,0;2022-04-09;;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA MANUEL DE CARVALHO;359,0;;EDIFÍCIO BELLINI;ESPINHEIRO;;SUBURBIO;CHOQUE;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
202207962,0;2022-04-09;;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DES JOAO PAES;1007,0;;AO LADO DA FERREIRA PINTO;BOA VIAGEM;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202207994,0;2022-04-09;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA ERNESTO DE PAULA SANTOS;;;E/F A FACULDADE UNINASSAU;BOA VIAGEM;;AV BOA VIAGEM;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;;
202207997,0;2022-04-10;;COM VÍTIMA;FINALIZADA;PINA;AV BRASILIA FORMOSA;;RUA PORAQUE;NA ORLA DA BRASILIA TEIMOSA. BAR LULA PÉ DE PORCO.;PINA;;SUBURBIO;CHOQUE;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;;Não há placas;40 km/h;Dupla;Faixa contínua;;
202208035,0;2022-04-10;;VÍTIMA FATAL;FINALIZADA;PINA;AV BOA VIAGEM;500,0;RUA PEREIRA DA COSTA;EM FRENTE AO HOTEL TRANSAMERICA. EDF CHATEAU MOUTON;PINA;110,0;CIDADE;ATROPELAMENTO DE PESSOA;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Única;Faixa contínua;;
202208045,0;2022-04-10;;COM VÍTIMA;FINALIZADA;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;RUA ANTONIO VALDEVINO COSTA;AO LADO DO COMPAZ ARIANO SUASSUNA;CORDEIRO;688,0;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;R-5a;;Dupla;Blocos;;
202208065,0;2022-04-10;;COM VÍTIMA;CANCELADA;ALTO SANTA TERESINHA;RUA PROFESSOR JOSE AMARINO DOS REIS;315,0;;PROX DA BARRACA DE SALU DEPOIS DO TEIMOSO;ALTO SANTA TERESINHA;;;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202208071,0;2022-04-10;;COM VÍTIMA;FINALIZADA;BONGI;EST DO BONGI;468,0;RUA SANTA EDWIRGES;PROX A ANTIGA FACULDADE NOVA ROMA;BONGI;;;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Não existente;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
202208072,0;2022-04-10;;COM VÍTIMA;CANCELADA;VASCO DA GAMA;RUA DOIS DE FEVEREIRO;187,0;;ENFRENTE AO BAR DO PAULO;VASCO DA GAMA;;;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202208074,0;2022-04-10;;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA ALTO JOSE BONIFACIO;192,0;;PROX A FEIRA DA RODINHA, SUBINDO A LADEIRA DA BOMBA DO HEMETÉRIO;CASA AMARELA;;SUBURBIO;COLISÃO FRONTAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202208096,0;2022-04-11;;COM VÍTIMA;FINALIZADA;BOA VISTA;RUA GERVASIO PIRES;271,0;AV CONDE DA BOA VISTA;E/F A DROGASIL. AO LADO DA DROGARIA SÃO PAULO;BOA VISTA;24,0;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;R-6a;;Única;Faixa seccionada;;
202208107,0;2022-04-11;;COM VÍTIMA;FINALIZADA;BOA VISTA;RUA IMPERADOR PEDRO SEGUNDO;376,0;;EM FRENTE AO RESTAURENTE DOM PEDRO AO LADO DO CARTORIO.;BOA VISTA;;SUBURBIO;COLISÃO LATERAL;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
202208157,0;2022-04-12;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;58,0;;PRÓXIMO AO SEMÁFORO 84.;BOA VIAGEM;84,0;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;;
202208162,0;2022-04-12;;COM VÍTIMA;FINALIZADA;BOA VISTA;RUA DOM BOSCO;1000,0;;AO LADO DA RÁDIO RECIFE;BOA VISTA;;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa contínua;;
202208163,0;2022-04-12;;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;;PROXIMO AO TERMINAL DA MACAXEIRA;MACAXEIRA;;;TOMBAMENTO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202208164,0;2022-04-12;;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;;PROXIMO AO TERMINAL DA MACAXEIRA;MACAXEIRA;;;TOMBAMENTO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202208167,0;2022-04-12;;COM VÍTIMA;FINALIZADA;IPUTINGA;AV CAXANGA;2811,0;;LADO OPOSTO AO JBS;IPUTINGA;;CIDADE;COLISÃO TRASEIRA;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Canteiro central;;
202208173,0;2022-04-12;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;4777,0;;PRÓXIMO AO MERCADO DE BOA VIAGEM;BOA VIAGEM;;CIDADE;COLISÃO TRASEIRA;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Única;Faixa contínua;;
202208181,0;2022-04-12;;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;3460,0;;JJK AUTO;IPSEP;;SUBURBIO;ENGAVETAMENTO;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;60 km/h;Única;Faixa seccionada;;
202208182,0;2022-04-12;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV SUL;;;PATIO TERMINAL DE ONIBUS TRANCREDO NEVES;IMBIRIBEIRA;;;COLISÃO TRASEIRA;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;5,0;0,0;Outros;Bom;Não existe;Não existente;Seca;Mal conservada;Não existe;Não há placas;;Única;;;
202208183,0;2022-04-12;;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;3045,0;;RL VIDROS E MOLDURAS;IPSEP;;SUBURBIO;ENGAVETAMENTO;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
202208185,0;2022-04-12;;COM VÍTIMA;FINALIZADA;JORDÃO;AV JULIO CESAR;;RUA ANTONIO ROCHA;RUA ANTONIO ROCHA;JORDÃO;;SUBURBIO;COLISÃO TRANSVERSAL;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Cruzamento;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;
202208186,0;2022-04-12;;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA COSME VIANA;122,0;RUA PROFESSOR FREDERICO CURIO;EM FRENTE A LÉO  CHOPP;AFOGADOS;430,0;SUBURBIO;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Sem defeito;Incompleta;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;Faixa seccionada;
202208196,0;2022-04-12;;COM VÍTIMA;FINALIZADA;APIPUCOS;RUA DOIS IRMAOS;320,0;;EM FRENTE A ESCOLA CANDIDO DUARTE;APIPUCOS;;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa contínua;;
202208231,0;2022-04-13;;SEM VÍTIMA;FINALIZADA;MUSTARDINHA;EST DO BONGI;955,0;AV MANOEL GONCALVES DA LUZ;EM FRENTE A IGREJA BATISTA DO BONGI;MUSTARDINHA;;SUBURBIO;COLISÃO FRONTAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Cruzamento;Bom;Não existe;Ilegível;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
202208236,0;2022-04-13;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV MARIO MELO;;RUA SAO GERALDO;ESCOLA ESTADUAL SYLVIO RABELLO;SANTO AMARO;;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Canteiro central;;
202208275,0;2022-04-13;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV ANTONIO TORRES GALVAO;221,0;RUA ALFREDO MARCONDES;PRÓXIMO À IGREJA EPISCOPAL CARISMÁTICA - CATEDRAL DA RECONCILIAÇÃO;IMBIRIBEIRA;442,0;SUBURBIO;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Intermitente;Perfeito estado;Seca;Perfeito estado;Não existe;R-19;;Única;Faixa seccionada;;
202208294,0;2022-04-14;;COM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;2015,0;EST DO FORTE DO ARRAIAL N. DO B. JESUS;AO LADO DA PRONTOCLÍNICA ODONTOLÓGICA VALÉRIA DIAS.;CORDEIRO;;CIDADE;COLISÃO COM CICLISTA;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
202208295,0;2022-04-14;;COM VÍTIMA;FINALIZADA;IPSEP;AV ENGENHEIRO ALVES DE SOUZA;;RUA ARQUITETO LUIZ NUNES;;IPSEP;634,0;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Faixa contínua;;
